Test_Date,Maturity,Base Yield,Mean Reversion,Level Up,Level Down,Twist Up-to-Down,Twist Down-to-Up
2019-02-08,30.0,0.006161169191595875,0.009766076559212893,0.015763657815345996,-0.0034413194321542455,0.005068128744886456,0.007254209638305293
2019-02-08,31.0,0.0062892768057896025,0.00991191072378593,0.015927117433625567,-0.003348563822046363,0.0051436920614267604,0.0074348615501524445
2019-02-08,32.0,0.0064095705028314265,0.010048827077337247,0.016080554990221034,-0.00326141398455818,0.005214635781385325,0.007604505224277528
2019-02-08,33.0,0.006522716964512279,0.010177591638750875,0.01622483735473007,-0.003179403425705515,0.0052813564615703384,0.007764077467454219
2019-02-08,34.0,0.006629314222701837,0.010298890348013888,0.016360739387634,-0.0031021109422303284,0.005344209262236663,0.007914419183167012
2019-02-08,35.0,0.006729899306286399,0.010413338280485417,0.016488954862424576,-0.003029156249851777,0.0054035126960945735,0.008056285916478225
2019-02-08,36.0,0.006824955081598378,0.010521487810032528,0.016610106054321335,-0.002960195891124579,0.0054595528392941345,0.008190357323902622
2019-02-08,37.0,0.006914916340159563,0.010623835816919176,0.01672475214345075,-0.002894919463131625,0.005512587052346659,0.008317245627972467
2019-02-08,38.0,0.007000175196293782,0.010720830037284109,0.01683339657092918,-0.0028330461783416146,0.005562847259884055,0.00843750313270351
2019-02-08,39.0,0.007081085860042722,0.010812874647661667,0.016936493474730946,-0.0027743217546455003,0.005610542836735559,0.008551628883349885
2019-02-08,40.0,0.007157968849965541,0.010900335172098182,0.01703445331985519,-0.002718515619924108,0.005655863144988913,0.00866007455494217
2019-02-08,41.0,0.00723111470728415,0.01098354279221637,0.0171276478249753,-0.002665418410407001,0.0056989797631537,0.0087632496514146
2019-02-08,42.0,0.007300787268449775,0.011062798132884822,0.017216414275975877,-0.002614839739076328,0.005740048444691674,0.008861526092207875
2019-02-08,43.0,0.007367226548220091,0.011138374588473082,0.017301059305843813,-0.0025666062094036315,0.005779210839300786,0.008955242257139397
2019-02-08,44.0,0.0074306512801857955,0.011210521247329245,0.017381862210421064,-0.002520559650049474,0.005816596006608192,0.0090447065537634
2019-02-08,45.0,0.007491261156646201,0.011279465465284683,0.017459077860590113,-0.0024765555472977116,0.005852321748441923,0.00913020056485048
2019-02-08,46.0,0.00754923880496927,0.011345415132756345,0.017532939263529196,-0.0024344616535906544,0.005886495782660955,0.009211981827277584
2019-02-08,47.0,0.00760475153317212,0.011408560674409055,0.01760365981868865,-0.0023941567523444096,0.005919216778647521,0.009290286287696719
2019-02-08,48.0,0.007657952873462949,0.01146907681534857,0.017671435308026902,-0.0023555295611010062,0.005950575272001166,0.009365330474924731
2019-02-08,49.0,0.007708983948901596,0.011527124143408417,0.017736445654721156,-0.0023184777569179643,0.00598065447370648,0.009437313424096714
2019-02-08,50.0,0.007757974685151126,0.011582850493225296,0.017798856479949013,-0.002282907109646763,0.006009530987054253,0.009506418383247998
2019-02-15,1.0,-0.0018292310687415003,-0.001993543482995944,-0.0004950194734821649,-0.003163442664000836,-0.0008484242536378852,-0.0028100378838451156
2019-02-15,2.0,-0.0027186477855276467,-0.002309936428681882,-6.148925816165315e-05,-0.00537580631289364,-0.0010454937466766396,-0.004391801824378654
2019-02-15,3.0,-0.0030359762634375024,-0.0021532918943105352,0.000695849825063074,-0.006767802351938079,-0.0009929125301380267,-0.005079039996736978
2019-02-15,4.0,-0.0029737554034162165,-0.0016968870446612049,0.0016365485000604664,-0.007584059306892899,-0.0007811188859113763,-0.005166391920921057
2019-02-15,5.0,-0.002667738069822784,-0.0010612084212034704,0.0026653493657115748,-0.008000825505357143,-0.0004731093691946139,-0.004862366770450955
2019-02-15,6.0,-0.00221279837499195,-0.0003289959367074539,0.0037189551832651716,-0.008144551933249072,-0.00011224266161531443,-0.004313354088368585
2019-02-15,7.0,-0.0016744958960140954,0.0004438643372158648,0.004756507758107111,-0.008105499550135302,0.0002721072016165522,-0.003621098993644743
